Coeff;Alpha;Rd;Rf;n_scenarios;OptimizedX;OptimizedY;ObjVal;AvgLoss;StdDevLoss;OptimizationTime
0.1; 0.68; 0.02; 0.08; 7500; 300000; [442751, 257248, 0, 0, 0]; 105749; 3576; 49213; 2.119
0.1; 0.68; 0.02; 0.08; 10000; 299997; [0, 0, 0, 0, 699995]; 106998; -57253; 66211; 10.508
0.1; 0.68; 0.02; 0.08; 12500; 300000; [435123, 264876, 0, 0, 0]; 105749; 2624; 48709; 5.815
0.1; 0.95; 0.08; 0.02; 5000; 300000; [700000, 0, 0, 0, 0]; 103704; 48393; 4825; 1.334
0.1; 0.95; 0.08; 0.02; 7500; 300000; [700000, 0, 0, 0, 0]; 103704; 48292; 4495; 2.33
0.1; 0.95; 0.08; 0.02; 10000; 291536; [428040, 0, 0, 0, 252211]; 103704; 95203; 20169; 115.083
0.1; 0.95; 0.08; 0.02; 12500; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 3.582
0.1; 0.95; 0.05; 0.05; 5000; 176291; [175664, 235682, 0, 0, 0]; 155900; 23905; 65318; 1.403
0.1; 0.95; 0.05; 0.05; 7500; 188349; [179481, 260000, 0, 0, 0]; 155900; 23969; 63251; 2.167
0.1; 0.95; 0.05; 0.05; 10000; 300000; [31326, 131639, 42274, 136437, 358321]; 155900; 21163; 66178; 63.488
0.1; 0.95; 0.05; 0.05; 12500; 300000; [712, 72151, 188078, 133633, 305424]; 155900; 15123; 67563; 66.22
0.1; 0.95; 0.02; 0.08; 5000; 300000; [0, 700000, 0, 0, 0]; 205057; -16496; 65325; 1.195
0.1; 0.95; 0.02; 0.08; 7500; 300000; [0, 700000, 0, 0, 0]; 205057; -15694; 66231; 2.095
0.1; 0.95; 0.02; 0.08; 10000; 299748; [34, 0, 0, 0, 699410]; 205079; -57367; 67030; 10.972
0.1; 0.95; 0.02; 0.08; 12500; 300000; [0, 700000, 0, 0, 0]; 205057; -15650; 65822; 3.92
0.1; 0.99; 0.08; 0.02; 5000; 300000; [700000, 0, 0, 0, 0]; 162751; 50378; 12007; 1.321
0.1; 0.99; 0.08; 0.02; 7500; 300000; [700000, 0, 0, 0, 0]; 162751; 50350; 11807; 2.151
0.1; 0.99; 0.08; 0.02; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 2.597
0.1; 0.99; 0.08; 0.02; 12500; 300000; [700000, 0, 0, 0, 0]; 162751; 50098; 15739; 134.448
0.1; 0.99; 0.05; 0.05; 5000; 157104; [220743, 145834, 0, 0, 0]; 211509; 38222; 72693; 1.259
0.1; 0.99; 0.05; 0.05; 7500; 170173; [229626, 167445, 0, 0, 0]; 211509; 40060; 70509; 2.107
0.1; 0.99; 0.05; 0.05; 10000; 300000; [114207, 0, 0, 157076, 428715]; 211509; 23595; 69083; 20.829
0.1; 0.99; 0.05; 0.05; 12500; 300000; [33936, 54692, 165871, 57824, 387675]; 211509; 19052; 67813; 27.562
0.1; 0.99; 0.02; 0.08; 5000; 300000; [0, 0, 700000, 0, 0]; 257427; -47873; 66138; 1.325
0.1; 0.99; 0.02; 0.08; 7500; 300000; [0, 0, 700000, 0, 0]; 257427; -45968; 65926; 2.066
0.1; 0.99; 0.02; 0.08; 10000; 300000; [0, 0, 0, 0, 700000]; 257453; -58838; 65993; 10.936
0.1; 0.99; 0.02; 0.08; 12500; 300000; [0, 0, 700000, 0, 0]; 257427; -46938; 65853; 3.814
1; 0.68; 0.08; 0.02; 5000; 300000; [700000, 0, 0, 0, 0]; 149200; 47744; 903; 1.401
1; 0.68; 0.08; 0.02; 7500; 300000; [700000, 0, 0, 0, 0]; 149166; 47731; 1186; 2.408
1; 0.68; 0.08; 0.02; 10000; 300000; [700000, 0, 0, 0, 0]; 149177; 47730; 1517; 104.57
1; 0.68; 0.08; 0.02; 12500; 300000; [700000, 0, 0, 0, 0]; 149162; 47731; 1200; 164.937
1; 0.68; 0.05; 0.05; 5000; 268993; [627651, 0, 0, 0, 0]; 50452; -4661; 10761; 1.459
1; 0.68; 0.05; 0.05; 7500; 263604; [615078, 0, 0, 0, 0]; 50452; -5125; 12469; 2.187
1; 0.68; 0.05; 0.05; 10000; 300000; [697827, 0, 0, 0, 2172]; 50452; 47090; 12498; 77.479
1; 0.68; 0.05; 0.05; 12500; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 3.576
1; 0.68; 0.02; 0.08; 5000; 172372; [46161, 356041, 0, 0, 0]; 105749; -52188; 55614; 1.181
1; 0.68; 0.02; 0.08; 7500; 177229; [0, 413536, 0, 0, 0]; 105749; -58065; 50106; 2.201
1; 0.68; 0.02; 0.08; 10000; 299997; [0, 0, 0, 0, 699993]; 106996; -55813; 65993; 10.365
1; 0.68; 0.02; 0.08; 12500; 193056; [0, 450464, 0, 0, 0]; 105749; -58601; 46930; 4.05
1; 0.95; 0.08; 0.02; 5000; 258596; [603392, 0, 0, 0, 0]; 103704; 49946; 14378; 1.334
1; 0.95; 0.08; 0.02; 7500; 267331; [623773, 0, 0, 0, 0]; 103704; 49804; 11254; 2.274
1; 0.95; 0.08; 0.02; 10000; 300000; [107600, 231366, 20708, 149058, 191266]; 103704; 85558; 32202; 138.622
1; 0.95; 0.08; 0.02; 12500; 300000; [581100, 0, 0, 0, 118899]; 103704; 78182; 18036; 178.179
1; 0.95; 0.05; 0.05; 5000; 207724; [0, 484691, 0, 0, 0]; 155900; -2441; 37112; 1.459
1; 0.95; 0.05; 0.05; 7500; 195166; [0, 455388, 0, 0, 0]; 155900; -3285; 41741; 2.21
1; 0.95; 0.05; 0.05; 10000; 204020; [0, 476047, 0, 0, 0]; 155900; -1967; 39177; 2.812
1; 0.95; 0.05; 0.05; 12500; 300000; [19632, 24056, 134409, 195917, 325983]; 155914; 11985; 66860; 76.836
1; 0.95; 0.02; 0.08; 5000; 140246; [0, 0, 327242, 0, 0]; 205057; -58525; 72503; 1.359
1; 0.95; 0.02; 0.08; 7500; 168515; [0, 0, 393202, 0, 0]; 205057; -58960; 67414; 2.135
1; 0.95; 0.02; 0.08; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 10.441
1; 0.95; 0.02; 0.08; 12500; 111066; [0, 259154, 0, 0, 0]; 205057; -41636; 83527; 5.365
1; 0.99; 0.08; 0.02; 5000; 212758; [496436, 0, 0, 0, 0]; 162751; 54254; 28674; 1.337
1; 0.99; 0.08; 0.02; 7500; 229029; [534401, 0, 0, 0, 0]; 162751; 52677; 23260; 2.289
1; 0.99; 0.08; 0.02; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 2.724
1; 0.99; 0.08; 0.02; 12500; 235346; [549141, 0, 0, 0, 0]; 162751; 52729; 21324; 4.067
1; 0.99; 0.05; 0.05; 5000; 131970; [37599, 270331, 0, 0, 0]; 211509; 5767; 62912; 1.214
1; 0.99; 0.05; 0.05; 7500; 155429; [103166, 259501, 0, 0, 0]; 211509; 16954; 62371; 2.196
1; 0.99; 0.05; 0.05; 10000; 177379; [0, 413885, 0, 0, 0]; 211509; -1985; 47114; 2.938
1; 0.99; 0.05; 0.05; 12500; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 3.506
1; 0.99; 0.02; 0.08; 5000; 114989; [0, 0, 0, 268308, 0]; 257427; -59187; 82918; 1.154
1; 0.99; 0.02; 0.08; 7500; 87063; [0, 0, 0, 203149, 0]; 257427; -57905; 84634; 2.121
1; 0.99; 0.02; 0.08; 10000; 300000; [0, 0, 0, 0, 700000]; 257459; -58994; 65775; 10.455
1; 0.99; 0.02; 0.08; 12500; 134822; [0, 0, 116145, 198440, 0]; 257427; -56542; 80472; 3.886
